config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,0.1,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,0.2,1000000,1000000,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,0.3,1000000,999998,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,0.4,1000000,999157,0,0,0,0,0,0.0,0.0,0.0
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,0.5,1000000,990811,28,28,28,0,0,0.0028,0.0028,0.0028
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,0.6,1000000,965208,212,212,212,0,0,0.0212,0.0212,0.0212
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,0.7,1000000,921791,790,790,790,0,0,0.079,0.079,0.079
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,0.8,1000000,866434,1693,1693,1693,0,0,0.1693,0.1693,0.1693
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,0.9,1000000,806963,3223,3223,3223,0,0,0.3223,0.3223,0.3223
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,1.0,1000000,748444,4960,4960,4960,0,0,0.496,0.496,0.496
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,1.1,1000000,693273,7025,7025,7025,0,0,0.7025,0.7025,0.7025
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,1.2,1000000,642962,9308,9308,9308,0,0,0.9308,0.9308,0.9308
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,1.3,1000000,597884,11527,11527,11527,0,0,1.1527,1.1527,1.1527
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,1.4,1000000,557987,13721,13721,13721,0,0,1.3721,1.3721,1.3721
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,1.5,1000000,522340,16000,16000,16000,0,0,1.6,1.6,1.6
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,1.6,1000000,490763,18084,18084,18084,0,0,1.8084,1.8084,1.8084
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,1.8,1000000,438213,22003,22003,22003,0,0,2.2003,2.2003,2.2003
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,2.0,1000000,396326,25520,25520,25520,0,0,2.552,2.552,2.552
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,2.2,1000000,362146,28266,28266,28266,0,0,2.8266,2.8266,2.8266
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,2.4,1000000,334549,30590,30590,30590,0,0,3.059,3.059,3.059
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,2.6,1000000,311422,32719,32719,32719,0,0,3.2719,3.2719,3.2719
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,2.8,1000000,291815,34171,34171,34171,0,0,3.4171,3.4171,3.4171
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,3.0,1000000,275255,35457,35457,35457,0,0,3.5457,3.5457,3.5457
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,3.2,1000000,260880,36351,36351,36351,0,0,3.6351,3.6351,3.6351
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,3.4,1000000,248189,37081,37081,37081,0,0,3.7081,3.7081,3.7081
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,3.6,1000000,237081,37662,37662,37662,0,0,3.7662,3.7662,3.7662
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,3.8,1000000,227296,38059,38059,38059,0,0,3.8059,3.8059,3.8059
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,4.0,1000000,218458,38215,38215,38215,0,0,3.8215,3.8215,3.8215
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,5.0,1000000,185417,38729,38729,38729,0,0,3.8729,3.8729,3.8729
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,6.0,1000000,162873,37741,37741,37741,0,0,3.7741,3.7741,3.7741
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,7.0,1000000,146496,36311,36311,36311,0,0,3.6311,3.6311,3.6311
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,8.0,1000000,133788,34817,34817,34817,0,0,3.4817,3.4817,3.4817
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,9.0,1000000,123343,33034,33034,33034,0,0,3.3034,3.3034,3.3034
RMT_1823_CDD_Type1,0,10.0,0.0,1.0,10.0,1000000,114876,31491,31491,31491,0,0,3.1491,3.1491,3.1491
