config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.3,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.4,500000,499562,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.5,500000,495492,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.58,500000,486045,24,24,24,0,0,0,0.0048,0.0048,0.0048
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.6,500000,482662,26,26,26,0,0,0,0.0052,0.0052,0.0052
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.7,500000,460928,115,115,115,0,0,0,0.023,0.023,0.023
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.8,500000,433280,305,305,305,0,0,0,0.061,0.061,0.061
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,0.9,500000,403439,637,637,637,0,0,0,0.1274,0.1274,0.1274
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.0,500000,374064,1064,1064,1064,0,0,0,0.2128,0.2128,0.2128
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.1,500000,346492,1673,1673,1673,0,0,0,0.3346,0.3346,0.3346
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.2,500000,321234,2374,2374,2374,0,0,0,0.4748,0.4748,0.4748
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.3,500000,298617,3063,3063,3063,0,0,0,0.6126,0.6126,0.6126
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.4,500000,278542,3837,3837,3837,0,0,0,0.7674,0.7674,0.7674
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.5,500000,260816,4625,4625,4625,0,0,0,0.925,0.925,0.925
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.6,500000,245068,5376,5376,5376,0,0,0,1.0752,1.0752,1.0752
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,1.8,500000,219021,6794,6794,6794,0,0,0,1.3588,1.3588,1.3588
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,2.0,500000,198141,8160,8160,8160,0,0,0,1.632,1.632,1.632
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,2.2,500000,181037,9354,9354,9354,0,0,0,1.8708,1.8708,1.8708
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,2.4,500000,166960,10392,10392,10392,0,0,0,2.0784,2.0784,2.0784
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,2.6,500000,155337,11156,11156,11156,0,0,0,2.2312,2.2312,2.2312
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,2.8,500000,145463,11946,11946,11946,0,0,0,2.3892,2.3892,2.3892
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,3.0,500000,137181,12579,12579,12579,0,0,0,2.5158,2.5158,2.5158
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,3.2,500000,130047,13070,13070,13070,0,0,0,2.614,2.614,2.614
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,3.4,500000,123759,13427,13427,13427,0,0,0,2.6854,2.6854,2.6854
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,3.6,500000,118333,13847,13847,13847,0,0,0,2.7694,2.7694,2.7694
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,3.8,500000,113543,14186,14186,14186,0,0,0,2.8372,2.8372,2.8372
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,4.0,500000,109120,14295,14295,14295,0,0,0,2.859,2.859,2.859
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,4.5,500000,99915,14622,14622,14622,0,0,0,2.9244,2.9244,2.9244
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,5.0,500000,92591,14916,14916,14916,0,0,0,2.9832,2.9832,2.9832
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,5.5,500000,86521,14875,14875,14875,0,0,0,2.975,2.975,2.975
NEW_RMT_1823_Type1_UFast_Unequal1,3,10.0,1.0,1.0,6.0,500000,81401,14788,14788,14788,0,0,0,2.9576,2.9576,2.9576
