config_name,config_id,dU,dV,dW,sigma,n_samples,stable_without_diffusion,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,filter_count,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,0.7,500000,460928,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,0.8,500000,433280,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,0.9,500000,403439,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,1.0,500000,374064,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,1.1,500000,346492,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,1.2,500000,321234,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,1.3,500000,298617,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,1.4,500000,278542,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,1.5,500000,260816,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,1.6,500000,245068,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,1.8,500000,219021,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,2.0,500000,198141,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,2.2,500000,181037,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,2.4,500000,166960,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,2.6,500000,155337,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,2.8,500000,145463,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,3.0,500000,137181,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,3.2,500000,130047,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,3.4,500000,123759,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,3.6,500000,118333,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,3.8,500000,113543,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,4.0,500000,109120,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,4.5,500000,99915,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,5.0,500000,92591,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,5.5,500000,86521,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,6.0,500000,81401,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,7.0,500000,73173,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,8.0,500000,66833,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,9.0,500000,61663,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Equal,1,1.0,1.0,1.0,10.0,500000,57346,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Fast,2,10.0,10.0,10.0,0.1,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1823_Type1_Control_Fast,2,10.0,10.0,10.0,0.2,500000,500000,0,0,0,0,0,0,0.0,0.0,0.0
