config_name,config_id,dU,dV,dW,sigma,n_samples,stable,diego_turing,shaberi_total,shaberi_type_I,shaberi_type_II,shaberi_hopf,rob_diego,rob_shaberi_total,rob_shaberi_type_I
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.1,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.2,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.3,100000,100000,0,0,0,0,0,0.0,0.0,0.0
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.4,100000,99981,1,1,1,0,0,0.001,0.001,0.001
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.5,100000,99732,29,29,29,0,0,0.029,0.029,0.029
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.6,100000,98966,163,163,163,0,0,0.163,0.163,0.163
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.7,100000,97782,461,461,461,0,0,0.461,0.461,0.461
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.8,100000,96149,1086,1086,1086,0,0,1.086,1.086,1.086
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,0.9,100000,94311,2008,2008,2008,0,0,2.008,2.008,2.008
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.0,100000,92345,2980,2980,2980,0,0,2.98,2.98,2.98
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.1,100000,90198,3929,3929,3929,0,0,3.929,3.929,3.929
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.2,100000,88080,4956,4956,4956,0,0,4.956,4.956,4.956
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.3,100000,85689,5765,5765,5765,0,0,5.765,5.765,5.765
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.4,100000,83226,6501,6501,6501,0,0,6.501,6.501,6.501
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.5,100000,80727,7116,7116,7116,0,0,7.116,7.116,7.116
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.6,100000,78077,7564,7564,7564,0,0,7.564,7.564,7.564
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,1.8,100000,72870,8241,8241,8241,0,0,8.241,8.241,8.241
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.0,100000,67959,8541,8541,8541,0,0,8.541,8.541,8.541
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.2,100000,63389,8661,8661,8661,0,0,8.661,8.661,8.661
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.4,100000,59093,8623,8623,8623,0,0,8.623,8.623,8.623
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.6,100000,55261,8557,8557,8557,0,0,8.557,8.557,8.557
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,2.8,100000,51853,8430,8430,8430,0,0,8.43,8.43,8.43
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,3.0,100000,48898,8313,8313,8313,0,0,8.313,8.313,8.313
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,3.2,100000,46233,8247,8247,8247,0,0,8.247,8.247,8.247
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,3.4,100000,43879,8106,8106,8106,0,0,8.106,8.106,8.106
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,3.6,100000,41674,7942,7942,7942,0,0,7.942,7.942,7.942
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,3.8,100000,39752,7777,7777,7777,0,0,7.777,7.777,7.777
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,4.0,100000,38013,7593,7593,7593,0,0,7.593,7.593,7.593
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,5.0,100000,31319,6797,6797,6797,0,0,6.797,6.797,6.797
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,6.0,100000,26971,6294,6294,6294,0,0,6.294,6.294,6.294
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,7.0,100000,23995,5865,5865,5865,0,0,5.865,5.865,5.865
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,8.0,100000,21713,5444,5444,5444,0,0,5.444,5.444,5.444
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,9.0,100000,19905,5164,5164,5164,0,0,5.164,5.164,5.164
NEW_RMT_1754_Type1_UFast_Unequal3,5,10.0,0.1,1.0,10.0,100000,18489,4877,4877,4877,0,0,4.877,4.877,4.877
